type;full name;name;director;address;phone number;site
Профессиональная образовательная организация;Государственное бюджетное профессиональное образовательное учреждение Ростовской области «Батайский техникум железнодорожного  транспорта и строительства»;ГБПОУ РО «Батайский техникум железнодорожного транспорта и строительства»;Удовицкий Валерий Иванович;346880, Ростовская область, г. Батайск, Железнодорожный тупик, 37;8-(86354)5-84-41;http://бтжтис-батайск.рф/
Профессиональная образовательная организация;Государственное бюджетное профессиональное образовательное учреждение Ростовской области «Батайский техникум информационных технологий и радиоэлектроники «Донинтех»;ГБПОУ РО «Батайский техникум информационных технологий и радиоэлектроники «Донинтех»;Яковлева Нина Руслановна;346880 Ростовская область, г. Батайск, ул. Куйбышева 50/150;(8635)45-82-79, 45-82-78;http://doninteh-bataysk.ru
Профессиональная образовательная организация;Государственное бюджетное профессиональное образовательное учреждение Ростовской области «Белокалитвинский гуманитарно-индустриальный техникум»;ГБПОУ РО  «Белокалитвинский  гуманитарно-индустриальный техникум»;Крашнева Ольга Евгеньевна;347042, Ростовская область,г. Белая Калитва, ул. Калинина, 17,;8(86383) 2-66-31, 2-71-30;http://politehbk.ru/
Профессиональная образовательная организация;Государственное бюджетное профессиональное образовательное учреждение Ростовской области «Белокалитвинский многопрофильный техникум»;ГБПОУ РО «Белокалитвинский многопрофильный техникум»;Кудинов Николай Николаевич;347045, Ростовская область, г.Белая Калитва, ул. Заводская, 6;8-(86383)4-19-06;http://bk-mt.ru/
Профессиональная образовательная организация;Государственное бюджетное профессиональное образовательное учреждение Ростовской области «Белокалитвинский технологический техникум (р.п. Шолоховский)»;ГБПОУ РО «Белокалитвинский  технологический техникум (р.п. Шолоховский)»;Ершова Светлана Евгеньевна;347022, Ростовская область, Белокалитвинский р-он, р.п. Шолоховский, ул. Железнодорожная, 4;8-(86383)5-40-52;http://bktt.ru/
Профессиональная образовательная организация;Государственное бюджетное профессиональное образовательное учреждение Ростовской области «Вешенский педагогический колледж им. М.А. Шолохова»; ГБПОУ РО «Вешенский педагогический колледж им. М.А. Шолохова»;Полумеева Анжелика Николаевна;346270 Ростовская область, Шолоховский район, ст-ца Вешенская, ул. Шолохова, 63;8(86353) 2-11-84;http://veshpedcoll.ucoz.ru/
Профессиональная образовательная организация;Государственное бюджетное профессиональное образовательное учреждение Ростовской области «Волгодонский педагогический колледж»; ГБПОУ РО «Волгодонский педагогический колледж»;директор Дидух Ольга Васильевна;347360 Ростовская обл., г. Волгодонск, пр. Строителей, 37;(8639)25-81-58, 23-67-07;http://www.vpk.net.ru/
Профессиональная образовательная организация;Государственное бюджетное профессиональное образовательное учреждение Ростовской области «Волгодонский техникум информационных технологий, бизнеса и дизайна имени В. В. Самарского»;ГБПОУ РО  «Волгодонский техникум информационных технологий, бизнеса и дизайна имени В. В. Самарского»;Бочарова Надежда Петровна;347380, Ростовская область, г. Волгодонск, ул. Гагарина,13;(8639)24-96-04,;http://vtitbid.ru/
Профессиональная образовательная организация;Государственное бюджетное профессиональное образовательное учреждение Ростовской области «Волгодонский техникум металлообработки и машиностроения»; ГБПОУ РО «Волгодонский техникум металлообработки и машиностроения»;Смольянинова Наталья Викторовна;347382, Ростовская область, г. Волгодонск, ул. Энтузиастов, 7;"(8639)25-56-51; 25-59-93";http://втмм.рф/
Профессиональная образовательная организация;Государственное бюджетное профессиональное образовательное учреждение Ростовской области «Волгодонский техникум общественного питания и торговли»;ГБПОУ РО «ВТОПиТ»;Кузнецова Наталия Алексеевна;347360, Ростовская область, г. Волгодонск, ул. М.Горького 190.;8-(8639) 23-60-63, 23-60-64;http://vtopit.gauro-riacro.ru/
Профессиональная образовательная организация;Государственное бюджетное профессиональное образовательное учреждение Ростовской области «Волгодонский техникум энергетики и транспорта»;ГБПОУ РО «Волгодонский техникум энергетики и транспорта»;Ковыршин Владимир Борисович;347360, Ростовская область, г. Волгодонск, ул. Химиков 64;8-(8639)22-14-20;https://wtet.ru
Профессиональная образовательная организация;Государственное бюджетное профессиональное образовательное учреждение Ростовской области «Волгодонское строительное училище № 69»;ГБПОУ РО «Волгодонское строительное училище № 69»;Тарасенко Лилия Васильевна;347360, Ростовская область, г. Волгодонск, ул. Ленина, 36.;8-(8639)22-23-83;http://gbpouro.wixsite.com/pu69
Профессиональная образовательная организация;Государственное бюджетное профессиональное образовательное учреждение Ростовской области «Гуковский строительный техникум»; ГБПОУ РО «Гуковский строительный техникум»;Авилов Александр Ильич;347871, Ростовская область, г. Гуково, ул. Карла Маркса, 54;(8636)15-64-42;http://www.gst-gukovo.ru
Профессиональная образовательная организация;Государственное бюджетное профессиональное образовательное учреждение Ростовской области «Донецкий промышленно-гуманитарный техникум»;ГБПОУ РО «Донецкий промышленно-гуманитарный техникум»;Сулаева Елена Петровна;346338, г. Донецк, Ростовской области, ул. Гаражная, д.10;"8(86368) 2-21-84; 2-11-08";https://dmt-p.narod.ru
Профессиональная образовательная организация;Государственное бюджетное профессиональное образовательное учреждение Ростовской области «Донецкое многопрофильное профессиональное училище № 50»;ГБПОУ РО «Донецкое многопрофильное профессиональное училище № 50»;Жадан Анна Александровна;346330, Ростовская область, г. Донецк, ул. Королева, 12, 10 б;"8-(86368) 2-25-16; 2-24-03";http://npopu-50.ru/index/0-36
Профессиональная образовательная организация;Государственное бюджетное профессиональное образовательное учреждение Ростовской области «Донской педагогический колледж»;ГБПОУ РО «Донской педагогический колледж»;Степанов Олег Васильевич;"344023 г. Ростов-на-Дону, проспект Ленина, 92
";+7 (863) 293-86-97;http://college-dpc.ru/
Профессиональная образовательная организация;Государственное бюджетное профессиональное образовательное учреждение Ростовской области «Донской промышленно-технический колледж (ПУ № 8) имени Б.Н. Слюсаря»;ГБПОУ РО  «ДПТК (ПУ № 8)»;Ширяев Игорь Михайлович;344018, Ростовская область, г. Ростов-на-Дону, пр. Буденновский, 86.;"(8863)234-19-88;(8863)232-85-18";http://pu8vertol.ru/
Профессиональная образовательная организация;Государственное бюджетное профессиональное образовательное учреждение Ростовской области «Донской строительный колледж»; ГБПОУ РО «Донской строительный колледж»;Сергеев Родион Валентинович;346400, Ростовская область, г. Новочеркасск, пр. Платовский, д. 94;(8635)22-35-90;https://дск.сайт/
Профессиональная образовательная организация;Государственное бюджетное профессиональное образовательное учреждение Ростовской области «Донской техникум кулинарного искусства и бизнеса»;ГБПОУ РО «ДонТКИиБ»;Данилова Ирина Витальевна;344030. г. Ростов-на-Дону проспект Шолохова, 128;"+7 (863)251-73-18;    приемная комиссия +7(863) 251-97-00";http://dontkib.gauro-riacro.ru
Профессиональная образовательная организация;Государственное бюджетное профессиональное образовательное учреждение Ростовской области «Дубовское многопрофильное профессиональное училище № 100»;ГБПОУ РО «Дубовское многопрофильное профессиональное училище № 100»;Петрушенко Наталья Николаевна;347410, Ростовская область, Дубовский район, с. Дубовское, ул. Ленина, 73;8-(86377)5-14-83;http://dpu100-dubovskoe.ru/
Профессиональная образовательная организация;Государственное бюджетное профессиональное образовательное учреждение Ростовской области «Зерноградский педагогический колледж»;ГБПОУ РО «Зерноградский педагогический колледж»;Завьялова Светлана Михайловна;347740, Ростовская область, Зерноградский район, город Зерноград, улица им. Ленина, дом 37;8 (86359) 41-5-53;http://zernpc.ru/
Профессиональная образовательная организация;Государственное бюджетное профессиональное образовательное учреждение Ростовской области «Зерноградский техникум агротехнологий»;ГБПОУ РО «Зерноградский техникум агротехнологий»;Таранов Дмитрий Михайлович;347740, Ростовская область, г. Зерноград, ул. Мира, 2.;8-(86359)41-2-44;http://nporopl92.ru
Профессиональная образовательная организация;Государственное бюджетное профессиональное образовательное учреждение Ростовской области «Зимовниковский педагогический колледж»;ГБПОУ РО «Зимовниковский педагогический колледж»;Ануфриенко Надежда Михайловна;347460 Ростовская обл., Зимовниковский район, п. Зимовники, ул. Ленина,100;(86376)40051;http://zimpk.ru/
Профессиональная образовательная организация;Государственное бюджетное профессиональное образовательное учреждение Ростовской области «Зимовниковский сельскохозяйственный техникум имени Бабаевского П.А.»;ГБПОУ РО «ЗСХТ»;Шорина Елена Григорьевна;347460, Ростовская область, Зимовниковский район, п. Зимовники, ул. Дзержинского, 185;(86376)3-22-30;http://www.zimpl84.ru/
Профессиональная образовательная организация;Государственное бюджетное профессиональное образовательное учреждение Ростовской области «Казанское аграрно-техническое профессиональное училище № 97»;ГБПОУ РО «Казанское аграрно-техническое профессиональное училище № 97»;Калмыков Василий Степанович;Ростовская область, Верхнедонской район, станица Казанская улица Тимирязева 69 346170;8-(86364)3-15-05;http://pu-97.com/
Профессиональная образовательная организация;Государственное бюджетное профессиональное образовательное учреждение Ростовской области «Каменский педагогический колледж»;ГБПОУ РО «Каменский педагогический колледж»;Гайдаенко Наталья Александровна;347810, Ростовская обл., г. Каменск-Шахтинский, пер. Володарского, 66;(86365)7-22-27, 7-26-58, 7-25-20;http://kpc.edu.ru/osn_sved.html
Профессиональная образовательная организация;Государственное бюджетное профессиональное образовательное учреждение Ростовской области «Каменский техникум строительства и автосервиса»;ГБПОУ РО «Каменский техникум строительства и автосервиса»;Новойдарский Виталий Николаевич;347801, Ростовская область, г. Каменск-Шахтинский, ул. Заводская, 63;(86365) 2-07-18;http://ktsia.gauro-riacro.ru/
Профессиональная образовательная организация;Государственное бюджетное профессиональное образовательное учреждение Ростовской области «Каменский химико-механический техникум»;ГБПОУ РО «КХМТ»;Беров Виктор Игоревич;347811 Ростовская область, г. Каменск-Шахтинский, пер. Володарского, 72;86365-73334;http://www.kxmt-kamensk.ru
Профессиональная образовательная организация;Государственное бюджетное профессиональное образовательное учреждение Ростовской области «Константиновский педагогический колледж»; ГБПОУ РО «Константиновский педагогический колледж»;Никитина Анна Николаевна;347250 Ростовская обл., г. Константиновск, ул. Калинина, 93;8(86393)2-26-99, факс: (86393)2-39-56;http://www.konstpk.ru/
Профессиональная образовательная организация;Государственное бюджетное профессиональное образовательное учреждение Ростовской области «Константиновский техникум агроветтехнологий и управления (КСХТ)»;ГБПОУ РО «Константиновский техникум агроветтехнологий и управления (КСХТ)»;Григоренко Ольга Ивановна;347252, Ростовская область, г. Константиновск, ул. 24 Гвардейской дивизии 9;(86393)2-28-66;http://kcxt.ru/
Профессиональная образовательная организация;Государственное бюджетное профессиональное образовательное учреждение Ростовской области «Константиновский технологический техникум»;ГБПОУ РО «Константиновский технологический техникум»;Мищенко Евгений Евгеньевич;347250, Ростовская область, г. Константиновск, ул. Комсомольская, 61.;8(86393)2-11-35;http://gbpouroktt.ru
Профессиональная образовательная организация;государственное бюджетное профессиональное образовательное учреждение Ростовской области «Красносулинский колледж промышленных технологий»;ГБПОУ РО «Красносулинский колледж промышленных технологий»;Вакулина Галина Юрьевна;346361 Ростовская область, г. Красный Сулин, ул. Чкалова, 13;(86367)5-24-93;http://kkpt-sulin.gauro-riacro.ru/
Профессиональная образовательная организация;Государственное бюджетное профессиональное образовательное учреждение Ростовской области «Митякинский техникум агротехнологий и питания»;ГБПОУ РО «Митякинский техникум агротехнологий и питания»;Щуров Виктор Александрович;346092, Ростовская область, Тарасовский район, станица Митякинская, ул. Ленина, 13;8-(86386)3-42-12;http://mtap.edu61.ru
Профессиональная образовательная организация;Государственное бюджетное профессиональное образовательное учреждение Ростовской области «Морозовский агропромышленный техникум»;ГБПОУ РО «МАПТ»;Прокопенко Андрей Юрьевич;347210, Ростовская область, Морозовский р-н, п. Озёрный, ул. Озёрная 28;+7(86384)2-12-10;http://mapt.gauro-riacro.ru/
Профессиональная образовательная организация;Государственное бюджетное профессиональное образовательное учреждение Ростовской области «Новочеркасский геологоразведочный колледж»; ГБПОУ РО  «Новочеркасский геологоразведочный колледж»;(8635)24-43-29, 24-15-08;346428 ,Ростовская область ,г. Новочеркасск, ул. Троицкая, 51,;(8635)24-43-29, 24-15-08;https://нгрк.рф
Профессиональная образовательная организация;Государственное бюджетное профессиональное образовательное учреждение Ростовской области «Новочеркасский колледж промышленных технологий и управления»;ГБПОУ РО «Новочеркасский колледж промышленных технологий и управления»;Григорьева Галина Николаевна;346400 Ростовская область, г. Новочеркасск, ул. Александровская, д. 109;(8635)22-44-44,;http://www.nkptiu.ru/
Профессиональная образовательная организация;Государственное бюджетное профессиональное образовательное учреждение Ростовской области «Новочеркасский машиностроительный колледж»; ГБПОУ РО «Новочеркасский машиностроительный колледж»;Федоров Сергей Евгеньевич;346428, Ростовская обл., г. Новочеркасск, ул. Троицкая 39/166;(8635) 22-25-55;http://nmk35.ru/
Профессиональная образовательная организация;Государственное бюджетное профессиональное образовательное учреждение Ростовской области «Новочеркасский промышленно-гуманитарный колледж»;ГБПОУ РО «Новочеркасский промышленно-гуманитарный колледж»;Потапов Игорь Александрович;346405, Ростовская область, г. Новочеркасск, ул. Высоковольтная, 1;(8635)23-21-55, 23-19-86;http://www.novoch-pgk.ru/
Профессиональная образовательная организация;Государственное бюджетное профессиональное образовательное учреждение Ростовской области «Новошахтинский автотранспортный техникум имени Героя Советского Союза Вернигоренко И.Г.»;"ГБПОУ РО ""НАТТ""";Котова Светлана Васильевна;346909, Ростовская область, г. Новошахтинск, ул. Привокзальная, 132.;"8-(86369)5-06-82;";https://natt61.ru
Профессиональная образовательная организация;Государственное бюджетное профессиональное образовательное учреждение Ростовской области «Новошахтинский технологический техникум»;ГБПОУ РО «НТТ»;Кузнецова Ирина Васильевна;346916, Ростовская область, г. Новошахтинск, ул.Грессовская, №21/17/1;"8-(86369)2-28-30; 2-30-96";http://licey59.edusite.ru/
Профессиональная образовательная организация;Государственное бюджетное профессиональное образовательное учреждение Ростовской области «Октябрьский аграрно-технологический техникум»; ГБПОУ РО «ОАТТ»;Бодло Эдуард Васильевич;346525, Ростовская область, Октябрьский район, п. Качкан, ул. Молодежная, 2;(86360)3-79-56;http://www.oatt-spo.ru/
Профессиональная образовательная организация;Государственное бюджетное профессиональное образовательное учреждение Ростовской области «Орловское многопрофильное профессиональное училище № 98»;ГБПОУ РО «Орловское многопрофильное профессиональное училище № 98»;Чернышов Сергей Алексеевич;п.Орловский Ростовская обл. Ул. Пионерская 77;88637531413;http://www.npo98.com/
Профессиональная образовательная организация;Государственное бюджетное профессиональное образовательное учреждение Ростовской области «Пролетарский аграрно-технологический техникум»;ГБПОУ РО «Пролетарский аграрно-технологический техникум»;Фоминых Любовь Адамовна;347540, Ростовская область, г. Пролетарск, проспект 50 лет Октября, 18 А;8-(86374)9-70-21;http://патт.рф/
Профессиональная образовательная организация;Государственное бюджетное профессиональное образовательное учреждение Ростовской области «Пухляковский агропромышленный техникум»; ГБПОУ РО «Пухляковский агропромышленный техникум»;Шубин Виктор  Васильевич;346561, Ростовская область, Усть-Донецкий район, х. Пухляковский, ул. Механизаторов, 13;"(8635)19-28-80; 19-27-14";http://puhtehn.ru/
Профессиональная образовательная организация;Государственное бюджетное профессиональное образовательное учреждение Ростовской области «Ростовский колледж металлообработки и автосервиса»;ГБПОУ РО «Ростовский колледж металлообработки и автосервиса»;Деркачев Василий Иванович;344095, Ростовская область, г. Ростов-на-Дону, ул. Штахановского, 10;"+7(863)252-63-68; +7(863)206-15-88";http://www.rkmia.ru/
Профессиональная образовательная организация;Государственное бюджетное профессиональное образовательное учреждение Ростовской области «Ростовский колледж технологий машиностроения»;ГБПОУ РО  «Ростовский колледж технологий машиностроения»;Пряхин Игорь Владимирович;344095, ул.Вятская,35, г. Ростов-на-Дону, Ростовская область;8(863)310-31-41 доб.16;http://rktm.info/
Профессиональная образовательная организация;Государственное бюджетное профессиональное образовательное учреждение Ростовской области «Ростовский -на-Дону колледж связи и информатики»;ГБПОУ РО  «Ростовский -на-Дону колледж связи и информатики»;Горбунов Сергей Николаевич;344082,г. Ростов-на-Дону, ул. Тургеневская, 10/6,;+7(863)262-45-34;http://rksi.ru/
Профессиональная образовательная организация;Государственное бюджетное профессиональное образовательное учреждение Ростовской области «Ростовский строительно-художественный техникум»; ГБПОУ РО «Ростовский строительно-художественный техникум»;Постолов Николай Александрович;344018, Ростовская область, г. Ростов-на-Дону, пер. Островского, 153.;"(863)232-57-36; 232-43-56";http://спо-рсхт.рф/
Профессиональная образовательная организация;Государственное бюджетное профессиональное образовательное учреждение Ростовской области «Ростовский техникум индустрии моды, экономики и сервиса»;ГБПОУ РО «Ростовский техникум индустрии моды, экономики и сервиса»;Сидоренко Сергей Александрович;344091 г. Ростов-на-Дону пр. Стачки 227;(863)224-22-78;http://ртимэс.рф/
Профессиональная образовательная организация;Государственное бюджетное профессиональное образовательное учреждение Ростовской области «Ростовский технологический техникум сервиса»;ГБПОУ РО «Ростовский технологический техникум сервиса»;Сухенко Андрей Дмитриевич;344041, Ростовская область, г. Ростов-на-Дону, ул. Мадояна, 205 Б.;"(863) 223-02-51; 225-21-21";http://proflicey6.narod.ru/
Профессиональная образовательная организация;Государственное бюджетное профессиональное образовательное учреждение Ростовской области «Ростовский торгово-экономический колледж»; ГБПОУ РО  «РТЭК»;Косенко Людмила Петровна;344090, г. Ростов-на-Дону, ул. Сладкова, 85;+7 (863) 222-56-11, 222-23-01,;http://rtek.info/
Профессиональная образовательная организация;Государственное бюджетное профессиональное образовательное учреждение Ростовской области «Ростовский-на-Дону автодорожный колледж»;ГБПОУ РО «Ростовский-на-Дону автодорожный колледж»;Гонтарев Сергей Юрьевич;344082, г. Ростов-на-Дону, ул. Большая Садовая, 28;(863)240-26-45, 262-51-89;http://www.radk.ru/
Профессиональная образовательная организация;Государственное бюджетное профессиональное образовательное учреждение Ростовской области «Ростовский-на-Дону автотранспортный колледж»; ГБПОУ РО «Ростовский-на-Дону автотранспортный колледж»;Бартеньев Владимир Петрович;344025, г. Ростов-на-Дону, ул. 29 линия, 46;+7(863) 251-25-54;http://ratk61.ru/
Профессиональная образовательная организация;Государственное бюджетное профессиональное образовательное учреждение Ростовской области «Ростовский-на-Дону гидрометеорологический техникум»;ГБПОУ РО «РГМТ»;Новиков Алексей Викторович;344025, г. Ростов-на-Дону, ул. 31-я линия, 4,;(863)285-01-95, 285-10-96;http://rgmt.edu.ru/
Профессиональная образовательная организация;Государственное бюджетное профессиональное образовательное учреждение Ростовской области «Ростовский-на-Дону железнодорожный техникум»;ГБПОУ РО «Ростовский-на-Дону железнодорожный техникум»;Данилин Вячеслав Грантович;344001, Ростовская область, г. Ростов-на-Дону, ул. Саши Чебанова,10;240-28-01;https://rzt161.ru/
Профессиональная образовательная организация;Государственное бюджетное профессиональное образовательное учреждение Ростовской области «Ростовский-на-Дону колледж водного транспорта»; ГБПОУ РО  «Ростовский-на-Дону колледж водного транспорта»;Маевский Владимир Юрьевич;344019,г. Ростов-на-Дону, ул.1-я линия, 54.;(863) 251-19-81;https://rkwt.ru/
Профессиональная образовательная организация;Государственное бюджетное профессиональное образовательное учреждение Ростовской области «Ростовский-на-Дону колледж радиоэлектроники, информационных и промышленных технологий»; ГБПОУ РО «Ростовский-на-Дону колледж радиоэлектроники, информационных и промышленных технологий»;Горбунов Сергей Васильевич;344011, г. Ростов-на-Дону, ул. Красноармейская, 11,;(863)267-49-15,;http://rgkript.ru/
Профессиональная образовательная организация;Государственное бюджетное профессиональное образовательное учреждение Ростовской области «Ростовский-на-Дону строительный колледж»; ГБПОУ РО  «Ростовский-на-Дону строительный колледж»;Вагин Александр Владимирович;344082, г. Ростов-на-Дону, ул. Максима Горького д.30,;(863)227-17-15;https://рндск.рф/
Профессиональная образовательная организация;Государственное бюджетное профессиональное образовательное учреждение Ростовской области «Ростовское многопрофильное профессиональное училище № 7»;ГБПОУ РО ПУ № 7;Афонина Елена Михайловна;344016, Ростовская область, г. Ростов-на-Дону., ул. Таганрогская, д. 114.;8 (863) 278-15-37;http://ptu7.ru/
Профессиональная образовательная организация;Государственное бюджетное профессиональное образовательное учреждение Ростовской области «Ростовское профессиональное училище № 5»;ГБПОУ РО «Ростовское профессиональное училище № 5»;Греховодова Марина Николаевна;344091, Ростовская область, г. Ростов-на-Дону, ул. Малиновского, 5в/169;(8863)3109197;https://www.uchs.ru
